TweetId,Sentiment,TweetText
126415614616154112,positive,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is
126404574230740992,positive,@Apple will be adding more carrier support to the iPhone 4S (just announced)
126402758403305474,positive,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY
126397179614068736,positive,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!
126395626979196928,positive,I just realized that the reason I got into twitter was ios5 thanks @apple
126394830791254016,positive,"I'm a current @Blackberry user, little bit disappointed with it! Should I move to @Android or @Apple @iphone"
126379685453119488,positive,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace
126377656416612353,positive,Great up close & personal event @Apple tonight in Regent St store!
126373779483004928,positive,From which companies do you experience the best customer service aside from @zappos and @apple?
126366353757179904,positive,"Just apply for a job at @Apple, hope they call me lol"
126366123368267776,positive,RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ...
126365858481188864,positive,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol
126360935509135362,positive,"RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"
126360398885687296,positive,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple
126358340220616704,positive,"Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"
126357982685569024,positive,你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  
126352268705538048,positive,"Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”"
126350302113824769,positive,"Hey @apple, if you send me a free iPhone (any version will do), I will publicly and ceremoniously burn my #BlackBerry."
126349695676203009,positive,Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards
126342268603998208,positive,"Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty."
126325800080392193,positive,@DailyDealChat @apple Thanks!!
126324177501302784,positive,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes
126323785145126912,positive,@apple..good ipad
126322063332999169,positive,@apple @siri is efffing amazing!!
126319186141130752,positive,Amazing new @Apple iOs 5 feature.  http://t.co/jatFVfpM
126318009647235072,positive,"RT @TripLingo: We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z"
126315223060709376,positive,"We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z"
126315011600678913,positive,"When you want something done right, you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered

"
126314687116750849,positive,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16
126312877916307458,positive,&lt;3 #ios5 @apple
126311981564178432,positive,---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?
126307801046847488,positive,RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ...
126302673820594176,positive,I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!
126301956951117826,positive,@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN
126287654093471745,positive,At the bus with my iPhone ;) thxx @apple
126284506360578049,positive,"@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app."
126263834968211456,positive,NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad
